Government Management	Regulation Special Interest	795698
Government Management	Budget Special Interest	2987580
Government Management	Regulation General Interest	365854
Government Management	Government Organization	937457
Government Management	Budget General Interest	889201
Government Management	D. C.	98102
Government Management	Internal Organization	183970
Government Management	Indian Affairs	48139
Government Management	Domestic Social Policy	29455
Government Management	Foreign Policy Resolutions	870
Government Management	Defense Policy Budget	3464
Regulation Special Interest	Agriculture	94587
Regulation Special Interest	Social Welfare	148750
Regulation Special Interest	Foreign and Defense Policy	24716
Regulation Special Interest	Civil Liberties	9093
Regulation Special Interest	Miscellaneous Policy	432
Budget Special Interest	Social Welfare	611528
Budget Special Interest	Agriculture	329482
Budget Special Interest	Foreign and Defense Policy	6942
Budget Special Interest	Miscellaneous Policy	3900
Budget Special Interest	Civil Liberties	3036
Social Welfare	Domestic Social Policy	665491
Social Welfare	Regulation General Interest	70763
Social Welfare	Budget General Interest	76372
Social Welfare	Defense Policy Budget	866
Social Welfare	Government Organization	39113
Social Welfare	D. C.	16067
Social Welfare	Foreign Policy Resolutions	435
Social Welfare	Indian Affairs	4348
Social Welfare	Internal Organization	1299
Domestic Social Policy	Civil Liberties	620470
Domestic Social Policy	Foreign and Defense Policy	3905
Domestic Social Policy	Agriculture	436
Foreign and Defense Policy	Foreign Policy Budget	566627
Foreign and Defense Policy	Defense Policy Budget	1211318
Foreign and Defense Policy	Foreign Policy Resolutions	517640
Foreign and Defense Policy	Defense Policy Resolutions	288811
Foreign and Defense Policy	Regulation General Interest	434
Foreign and Defense Policy	Government Organization	5643
Foreign and Defense Policy	Budget General Interest	1301
Foreign and Defense Policy	D. C.	432
Foreign Policy Budget	Agriculture	2165
Foreign Policy Resolutions	Agriculture	2166
Foreign Policy Resolutions	Civil Liberties	2603
Regulation General Interest	Agriculture	15645
Regulation General Interest	Civil Liberties	1297
Miscellaneous Policy	Internal Organization	988639
Miscellaneous Policy	Government Organization	435
Internal Organization	Civil Liberties	869
Defense Policy Resolutions	Civil Liberties	1738
Defense Policy Resolutions	Agriculture	435
Government Organization	Agriculture	5647
Government Organization	Civil Liberties	1738
Civil Liberties	D. C.	14318
Civil Liberties	Indian Affairs	3468
Budget General Interest	Agriculture	1300
